SIMRUN,TIMEINT,QUEUECOUNTER,QLEN,QLENMAX,QSTOPS
1,3120-3180,1,19.87,45.44,8
1,3120-3180,2,18.34,31.36,5
1,3120-3180,3,28.36,68.06,14
1,3120-3180,4,2.49,31,3
1,3120-3180,5,69.06,140.51,13
1,3120-3180,6,19.85,58.44,6
1,3120-3180,7,76.08,128.83,28
1,3180-3240,1,13.99,50.62,7
1,3180-3240,2,24.16,52.48,8
1,3180-3240,3,64.17,146.56,34
1,3180-3240,4,6.71,36.99,3
1,3180-3240,5,36.2,95.47,11
1,3180-3240,6,30.44,42.86,9
1,3180-3240,7,48.3,91.59,18
1,3240-3300,1,12.53,28.32,7
1,3240-3300,2,19.66,32.13,7
1,3240-3300,3,70.39,146.77,27
1,3240-3300,4,0.7,12.25,2
1,3240-3300,5,14.85,49.09,7
1,3240-3300,6,19.54,44.32,6
1,3240-3300,7,58.69,98.34,19
1,3300-3360,1,11.16,24.19,9
1,3300-3360,2,8.79,25.51,4
1,3300-3360,3,37.4,84.97,27
1,3300-3360,4,0,0,0
1,3300-3360,5,24.71,65.32,10
1,3300-3360,6,11.78,37.9,4
1,3300-3360,7,48.83,84.28,17
1,3360-3420,1,5.4,31.13,7
1,3360-3420,2,16.28,38.05,8
1,3360-3420,3,18.73,50.27,9
1,3360-3420,4,0,0,0
1,3360-3420,5,31.05,76.68,9
1,3360-3420,6,11.64,23.67,6
1,3360-3420,7,65.07,96.81,18
1,3420-3480,1,11.63,25.14,11
1,3420-3480,2,16.5,24.99,6
1,3420-3480,3,16.32,50.82,10
1,3420-3480,4,1.34,11.86,2
1,3420-3480,5,56.44,139.94,19
1,3420-3480,6,24.32,59.21,9
1,3420-3480,7,55.07,84.25,10
1,3480-3540,1,8.18,18.98,5
1,3480-3540,2,13.27,38.34,7
1,3480-3540,3,11.59,44.53,10
1,3480-3540,4,8.04,34.18,5
1,3480-3540,5,114.92,139.18,12
1,3480-3540,6,9.89,30.67,2
1,3480-3540,7,42.07,65.93,13
1,3540-3600,1,6.49,17.92,4
1,3540-3600,2,61.11,98.89,13
1,3540-3600,3,15.56,58.94,11
1,3540-3600,4,5.14,24.37,4
1,3540-3600,5,14.55,42.55,7
1,3540-3600,6,7.26,23.74,4
1,3540-3600,7,49.59,71.65,12
1,3600-3660,1,13.73,56.96,9
1,3600-3660,2,88.1,134.65,18
1,3600-3660,3,7.92,29.81,3
1,3600-3660,4,0.17,17.11,1
1,3600-3660,5,16.02,31.38,5
1,3600-3660,6,2.28,18.37,3
1,3600-3660,7,30.81,72.09,3
1,3660-3720,1,37.05,109.72,11
1,3660-3720,2,101.87,146.91,22
1,3660-3720,3,25.23,89.85,11
1,3660-3720,4,0.92,16.68,3
1,3660-3720,5,45.64,106.08,14
1,3660-3720,6,1.37,18.22,3
1,3660-3720,7,18.36,69.38,16
1,3720-3780,1,11.22,24.52,5
1,3720-3780,2,97.02,135.39,18
1,3720-3780,3,66.48,122.18,16
1,3720-3780,4,5.07,18.84,3
1,3720-3780,5,44.4,125.58,8
1,3720-3780,6,2.25,13.34,3
1,3720-3780,7,66.88,101.05,17
1,3780-3840,1,6.04,20.83,6
1,3780-3840,2,121.2,147.44,22
1,3780-3840,3,14.5,51.64,7
1,3780-3840,4,2.67,11.71,2
1,3780-3840,5,6.61,23.99,4
1,3780-3840,6,4.75,24.26,3
1,3780-3840,7,61.04,93.46,11
1,3840-3900,1,10.5,26.18,7
1,3840-3900,2,89.17,128.66,23
1,3840-3900,3,9.98,37.83,6
1,3840-3900,4,0.02,5.15,1
1,3840-3900,5,1.66,11.08,2
1,3840-3900,6,11.31,22.35,7
1,3840-3900,7,55.1,83.33,16
1,3900-3960,1,5.83,19.67,4
1,3900-3960,2,94.78,121.08,19
1,3900-3960,3,17.73,45,12
1,3900-3960,4,1.97,11.44,2
1,3900-3960,5,6.65,24.23,3
1,3900-3960,6,6.82,11.84,1
1,3900-3960,7,61.07,103.56,14
1,3960-4020,1,12.34,26,3
1,3960-4020,2,80.38,102.01,19
1,3960-4020,3,9.8,51.4,3
1,3960-4020,4,0.05,5.08,1
1,3960-4020,5,11.18,42.78,6
1,3960-4020,6,5.5,24.31,4
1,3960-4020,7,71.44,104.96,19
1,4020-4080,1,2.26,19.31,3
1,4020-4080,2,101.73,135.59,20
1,4020-4080,3,10.13,30.2,9
1,4020-4080,4,0,0,0
1,4020-4080,5,14.6,37.08,7
1,4020-4080,6,11.61,25.18,4
1,4020-4080,7,72.23,98.21,15
1,4080-4140,1,7.16,19.08,4
1,4080-4140,2,109.61,134.72,16
1,4080-4140,3,22.7,52.6,14
1,4080-4140,4,7.82,31.13,5
1,4080-4140,5,12.62,55.31,5
1,4080-4140,6,5.99,18.07,3
1,4080-4140,7,71.51,103.49,15
1,4140-4200,1,5.99,24.65,7
1,4140-4200,2,102.84,134.48,21
1,4140-4200,3,14.09,51.7,10
1,4140-4200,4,2.83,17.33,3
1,4140-4200,5,4.34,25.53,2
1,4140-4200,6,3.65,24.27,4
1,4140-4200,7,84.41,120.17,17
1,4200-4260,1,22.53,49.8,11
1,4200-4260,2,90.14,119.5,15
1,4200-4260,3,8.45,25.23,4
1,4200-4260,4,0.01,4.52,1
1,4200-4260,5,2.65,17.76,3
1,4200-4260,6,10.82,39.42,7
1,4200-4260,7,95.78,112.55,10
1,4260-4320,1,31.67,96.43,12
1,4260-4320,2,62.84,93.26,13
1,4260-4320,3,11.84,39.31,10
1,4260-4320,4,1.54,11.09,2
1,4260-4320,5,13.12,37.27,6
1,4260-4320,6,9.44,38.53,6
1,4260-4320,7,88.52,121.04,22
1,4320-4380,1,9.06,19.9,7
1,4320-4380,2,39.54,51.53,8
1,4320-4380,3,24.21,50.9,18
1,4320-4380,4,0.39,10.31,0
1,4320-4380,5,20.06,63.92,8
1,4320-4380,6,22.64,58.14,13
1,4320-4380,7,83.57,120.16,14
1,4380-4440,1,19.06,35.59,15
1,4380-4440,2,25.71,45.18,8
1,4380-4440,3,31.01,91.51,20
1,4380-4440,4,1.35,12.36,2
1,4380-4440,5,13.08,43.81,6
1,4380-4440,6,22.67,58.01,4
1,4380-4440,7,43.77,87.73,14
1,4440-4500,1,44.96,81.05,20
1,4440-4500,2,35.27,52.66,9
1,4440-4500,3,68.13,130.49,19
1,4440-4500,4,2.19,19.01,1
1,4440-4500,5,29.37,71.29,10
1,4440-4500,6,9.33,24.94,2
1,4440-4500,7,15.59,29.48,8
2,900-960,1,3.31,19.29,2
2,900-960,2,62.55,74.86,6
2,900-960,3,141.22,159.41,23
2,900-960,4,5.95,30.69,5
2,900-960,5,69.41,139.45,19
2,900-960,6,27.6,44.69,9
2,900-960,7,68.6,109.78,21
2,960-1020,1,4.12,12.17,5
2,960-1020,2,86.65,124.58,17
2,960-1020,3,29.67,159.38,13
2,960-1020,4,1.88,17.73,3
2,960-1020,5,35.4,137.78,9
2,960-1020,6,15.1,30.73,3
2,960-1020,7,101.4,136.05,21
2,1020-1080,1,7.06,12.76,2
2,1020-1080,2,110.44,131.21,18
2,1020-1080,3,33.27,96.68,14
2,1020-1080,4,2.4,18.25,3
2,1020-1080,5,13.95,36.82,4
2,1020-1080,6,15.38,37.25,8
2,1020-1080,7,79.1,104.64,15
2,1080-1140,1,5.61,17.47,5
2,1080-1140,2,90.8,119.3,16
2,1080-1140,3,17.49,50.09,7
2,1080-1140,4,2.2,11.35,1
2,1080-1140,5,27,59.98,9
2,1080-1140,6,9.2,24.38,3
2,1080-1140,7,57.76,95.51,11
2,1140-1200,1,9.45,38.32,7
2,1140-1200,2,97.2,136.59,25
2,1140-1200,3,21.9,71.97,12
2,1140-1200,4,3.42,16.21,3
